GENE	FREQ
ALDH3A1	1
ALDH1A3	1
CES5A	1
ALOX12	1
ALOX5	1
STK39	1
RASAL1	1
ALPL	1
PAQR7	1
CUL3	1
FOXN1	1
AMFR	1
MIR127	1
TSHZ3	1
CAMP	1
ANG	1
ANK2	1
ANXA3	1
BMF	1
APBA1	1
APLP2	1
APOA1	1
APOC1	1
KLLN	1
MAPKAPK5	1
AQP2	1
AQP3	1
AQP4	1
PIAS1	1
AQP7	1
ABCC6	1
PDLIM4	1
ANKRD36B	1
RHOC	1
TCL1B	1
ARNTL	1
STS	1
MMEL1	1
PDE8B	1
ASGR1	1
UNC5C	1
ASPA	1
EIF4EBP3	1
CCAR2	1
SERPINC1	1
ATF1	1
GRHL3	1
RAP2C	1
RNASEH1	1
ATP2A2	1
ATP2A3	1
PEA15	1
PRB3	1
ATP5A1	1
ATP5G3	1
TNK1	1
PAGE1	1
OMA1	1
MIR135B	1
MIR151A	1
MIR323A	1
MIR328	1
ATP6V0A1	1
GZMM	1
MIR370	1
MIR371A	1
TNFSF13	1
MIR373	1
NRG4	1
MIR187	1
ZEB2	1
RIPK2	1
BAK1	1
TNFRSF6B	1
MDM4	1
BCKDHA	1
BCL2L2	1
SUCLG2	1
OPN1SW	1
TRRAP	1
PRKACA	1
FGF17	1
NRP2	1
NRP1	1
BIK	1
BLMH	1
CXCR5	1
GGH	1
BMI1	1
BMP4	1
BMP6	1
TSC22D1	1
BMPR1B	1
BMX	1
ALDH1A2	1
BOK	1
BRS3	1
MIR25	1
SGPL1	1
BTN1A1	1
PRPF4B	1
C2	1
CAPN5	1
C6	1
C8G	1
GPR31	1
CA1	1
ADH5	1
CA12	1
CACNA1A	1
USP13	1
MIR218-1	1
CALM2	1
CDKL2	1
FCGR1A	1
RBPJP3	1
CASP4	1
BAZ1B	1
ESAM	1
CASP10	1
SPAG9	1
ARTN	1
NFS1	1
PAPSS2	1
HDLC3	1
MFI2	1
CLDN10	1
CCNC	1
CCNG2	1
CD1B	1
RGN	1
CD9	1
CD27	1
CD28	1
PDCD5	1
NEURL1	1
CD47	1
CD58	1
MIR451A	1
CDB2	1
CDK11B	1
HIST1H3J	1
OSMR	1
CDC6	1
BUB3	1
ZBED1	1
CDH4	1
CDH5	1
CDH17	1
CDK8	1
LMNB2	1
MIR520C	1
CDS1	1
IL32	1
RSPO3	1
BOC	1
CELP	1
STK17B	1
CYP1A2	1
CTSC	1
CFTR	1
ZBTB22	1
S1PR2	1
CHI3L2	1
KLF4	1
ENOPH1	1
CHUK	1
CKB	1
CKMT2	1
HSPA8	1
PPT2	1
SHC2	1
ERVK-13	1
CLU	1
SIRT3	1
TPP1	1
RASGRP3	1
CD101	1
STOML1	1
GRAP2	1
CLTC	1
HAND1	1
CCR3	1
CCR5	1
CCR6	1
TAOK1	1
PRDX5	1
HSPB1	1
POU2F3	1
GGPS1	1
CNR1	1
COL2A1	1
COL4A5	1
IGKV2D-19	1
IGKV2D-18	1
COL11A1	1
COL11A2	1
COL13A1	1
NCAPG2	1
COMP	1
LIMD2	1
ADAMTS1	1
GPR161	1
ACBD5	1
CELA3B	1
CBX5	1
TGM3	1
WWTR1	1
CLDN3	1
PVRL3	1
MINPP1	1
SYF2	1
PNKD	1
CRAT	1
CREB5	1
PRDX6	1
MIR3713	1
CYTIP	1
CRY2	1
CRYAB	1
IGKV5-2	1
CRYGD	1
KLK4	1
GNA14	1
MTL5	1
CSH2	1
CSHL1	1
CSN2	1
CSNK1G2	1
SOCS5	1
IL22	1
PSMC6	1
SLITRK5	1
GEMIN4	1
ANO7	1
CTBP1	1
CTNND1	1
DCLRE1C	1
CTRL	1
CTSG	1
CTSV	1
CTSZ	1
CXADR	1
LRIT1	1
CYBA	1
ADAD1	1
CYP1B1	1
GLT8D2	1
KIAA1279	1
CYP2B6	1
RSS	1
CYP2C8	1
TES	1
MLEC	1
KIAA0101	1
RASSF2	1
CYP8B1	1
CYP11B1	1
CYP11B2	1
CYP17A1	1
CYP21A2	1
MTSS1	1
DAO	1
DARS	1
KEAP1	1
DCN	1
DCX	1
DDC	1
